,EmployeeID,EmployeeName,Education,EducationField,Department,JobRole,SelfRating,self_rating_category,ManagerRating,manager_rating_category,Salary,MaritalStatus,Ethnicity,Gender,Age,YearsAtCompany,TrainingOpportunitiesTaken,education_sorter
0,3012-1A41,Leonelle Simco,PhD,Marketing,Sales,Sales Executive,4.111111111111111,Above Average,3.5555555555555554,Above Average,102059,Divorced,White,Female,30,10,0,1
1,CBCB-9C9D,Leonerd Aland,Master's Degree,Marketing,Sales,Sales Executive,4.222222222222222,Above Average,3.888888888888889,Above Average,157718,Single,White,Male,38,10,0,2
2,95D7-1CE9,Ahmed Sykes,Master's Degree,Marketing,Human Resources,HR Business Partner,3.5555555555555554,Above Average,3.0,Average,309964,Married,Asian or Asian American,Male,43,10,0,2
3,47A0-559B,Ermentrude Berrie,Bachelor's Degree,Computer Science,Technology,Engineering Manager,3.888888888888889,Above Average,3.5555555555555554,Above Average,293132,Married,White,Non-Binary,39,10,0,3
4,42CC-040A,Stace Savege,High School,Technical Degree,Human Resources,Recruiter,3.7777777777777777,Above Average,3.0,Average,49606,Single,White,Female,29,6,0,4
5,C219-6C2E,Clerkclaude Hinkins,High School,Marketing,Sales,Sales Executive,4.111111111111111,Above Average,3.6666666666666665,Above Average,133468,Divorced,Mixed or multiple ethnic groups,Male,34,10,1,4
6,D906-B674,Uta Melmar,Bachelor's Degree,Information Systems,Technology,Engineering Manager,4.555555555555555,Excellent,4.111111111111111,Above Average,259284,Married,Black or African American,Female,42,10,1,3
7,3C7D-86ED,Joyan Brason,High School,Other,Sales,Sales Executive,3.888888888888889,Above Average,3.3333333333333335,Average,104426,Divorced,Native Hawaiian ,Female,40,10,3,4
8,3D71-8DC2,Alix Blazejewski,Master's Degree,Marketing,Sales,Sales Executive,4.0,Above Average,3.6666666666666665,Above Average,147098,Married,Black or African American,Male,38,10,0,2
9,5476-CA0D,Kayley Snoad,High School,Information Systems,Technology,Data Scientist,3.7,Above Average,2.9,Average,69747,Single,Native Hawaiian ,Female,31,6,0,4
10,73CF-4956,Hannis Waslin,Master's Degree,Computer Science,Technology,Data Scientist,4.0,Above Average,3.6666666666666665,Above Average,102022,Single,White,Female,32,10,1,2
11,277A-A6FA,Annabela Pablos,Master's Degree,Information Systems,Technology,Machine Learning Engineer,4.0,Above Average,3.75,Above Average,272175,Single,Other ,Female,35,10,2,2
12,8BAB-B4A6,Torey Abram,Bachelor's Degree,Marketing,Sales,Manager,4.0,Above Average,3.375,Average,340229,Single,Asian or Asian American,Male,38,10,1,3
13,111D-E5EF,Edna Alison,Bachelor's Degree,Computer Science,Technology,Software Engineer,4.0,Above Average,3.625,Above Average,48395,Divorced,White,Non-Binary,37,10,2,3
14,97F4-0B14,Vernen Powner,Master's Degree,Other,Technology,Senior Software Engineer,4.25,Above Average,3.625,Above Average,97126,Single,Mixed or multiple ethnic groups,Male,33,10,0,2
15,5C03-1009,Willetta Lurriman,Bachelor's Degree,Information Systems,Technology,Engineering Manager,4.0,Above Average,3.625,Above Average,316208,Married,Black or African American,Female,42,10,2,3
